,turn,author civ,subject civ,cable
94,9,Korea,Germany,We are showing a friendly stance toward the Germans
95,9,Korea,Germany,With gratitude
96,9,Korea,Germany,Germany desk
97,9,Songhai,Mombasa,Dear Foreign Secretary
98,9,Songhai,Mombasa,Greetings from post Mombasas economic potential has come to an average degree according to our spies
99,9,Songhai,Mombasa,A friendly disposition with Mombasa is what we claim
100,9,Songhai,Mombasa,Faithfully yours
101,9,Songhai,Mombasa,Correspondent in Mombasa
102,10,Morocco,Songhai,Dear Your Excellency the Ambassador
103,10,Morocco,Songhai,We hope this finds you enjoying your posting
104,10,Morocco,Songhai,According to our intelligence officers the Songhai are focused on cultural preeminence
105,10,Morocco,Songhai,This assessment comes from a somewhat sure source
106,10,Morocco,Songhai,Seeing as we can decipher the Songhai imagines we are a neutral party
107,10,Morocco,Songhai,We proclaimed that relations between us and the Songhai are now friendly
108,10,Morocco,Songhai,Please write more on the Songhais economic interests as the foreign office is quite disquieted about the Songhais behavior
109,10,Morocco,Songhai,Regards
110,10,Morocco,Songhai,The Honorable Foreign Secretary
111,10,Germany,Songhai,Dear faithful foreign correspondent
112,10,Germany,Songhai,Those of us at home send kind regards to you and yours
113,10,Germany,Songhai,We are displaying a friendly stance toward the Songhai
114,10,Germany,Songhai,We consider the Songhai to be pursuing cultural dominance these days
115,10,Germany,Songhai,Our intelligence officers are somewhat certain in this estimate
116,10,Germany,Songhai,The obstacle that the Songhai show is described as major by our intelligence officers
117,10,Germany,Songhai,We are continually reminded by the Songhais behavior why we call the Songhai a neutral party
118,10,Germany,Songhai,Kind regards
119,10,Germany,Songhai,The Foreign Secretary
120,10,Germany,Korea,Greetings loyal agents abroad
121,10,Germany,Korea,Greetings from back home
122,10,Germany,Korea,Whatever the Koreans advertised position may be we perceive the Koreans as a neutral party
123,10,Germany,Korea,Please send word on the Koreans military strategies as the foreign office is acutely worried about the Koreans actions
124,10,Germany,Korea,Recent occurrences have led us to consider the Koreans as a poor military actor
125,10,Germany,Korea,We think that the Koreans are a minor danger to our pursuits
126,10,Germany,Korea,Best wishes
127,10,Germany,Korea,The Foreign Office
128,10,Germany,Bogota,Dear Chief of Mission
129,10,Germany,Bogota,Those of us at home send kind regards to you and yours
130,10,Germany,Bogota,We consider the likelihood of forcefully dominating Bogota to be favorable
131,10,Germany,Bogota,We announced that relations between us and Bogota are at present neutral
132,10,Germany,Bogota,With appreciation
133,10,Germany,Bogota,The Office of the Foreign Secretary
134,11,Songhai,Morocco,Greetings Your Excellency the Ambassador
135,11,Songhai,Morocco,Greetings from back home
136,11,Songhai,Morocco,We believe that the Moroccans constitute a moderate danger to our ambitions
137,11,Songhai,Morocco,The foreign office desires any intelligence possible concerning the Moroccans military might
138,11,Songhai,Morocco,We are continually reminded by the Moroccans behavior why we call the Moroccans a neutral civilization
139,11,Songhai,Morocco,We are displaying a friendly manner toward the Moroccans
140,11,Songhai,Morocco,Best regards
141,11,Songhai,Morocco,The Honorable Foreign Secretary
142,11,The Iroquois,Morocco,To Your Excellency the Ambassador
143,11,The Iroquois,Morocco,Greetings from back home
144,11,The Iroquois,Morocco,Please write more on the Moroccans economic activities as the foreign office is much troubled about the Moroccans activity
145,11,The Iroquois,Morocco,Inasmuch as we can tell the Moroccans feels we are a neutral nation
146,11,The Iroquois,Morocco,We are showing a friendly posture toward the Moroccans
147,11,The Iroquois,Morocco,The hazard that the Moroccans embody is portrayed as moderate by our agents
148,11,The Iroquois,Morocco,The Songhai esteem the Moroccans to be a neutral party
149,11,The Iroquois,Morocco,Very respectfully yours
150,11,The Iroquois,Morocco,Your trusted friend
151,11,Germany,Singapore,Greetings German embassy in Singapore
152,11,Germany,Singapore,We here at home wish to express our gratitude for your efforts in-country
153,11,Germany,Singapore,A neutral attitude with Singapore is what we assert
154,11,Germany,Singapore,Yours
155,11,Germany,Singapore,Singapore desk
156,11,The Iroquois,Mombasa,Dearest Your Excellency the Ambassador
157,11,The Iroquois,Mombasa,Not a day goes by where we do not think highly of your zeal for your work
158,11,The Iroquois,Mombasa,There is no news today
159,11,The Iroquois,Mombasa,Very respectfully yours
160,11,The Iroquois,Mombasa,The Honorable Foreign Secretary
161,12,Songhai,Germany,Greetings Songhai embassy in Germany
162,12,Songhai,Germany,We hope this finds you enjoying your posting
163,12,Songhai,Germany,We estimate the Germans to be an average target for attack
164,12,Songhai,Germany,We announced that proceedings between us and the Germans are now friendly
165,12,Songhai,Germany,The Germans economic force has reached an average status according to our intelligence officers
166,12,Songhai,Germany,We suspect that the Germans amount to a major hazard to our ambitions
167,12,Songhai,Germany,We consider the Germans to be pursuing unknown dominance presently
168,12,Songhai,Germany,Our agents are not at all convinced in this hypothesis
169,12,Songhai,Germany,Please expand on the Germans economic activities as the foreign office is thoroughly alarmed about the Germans conduct
170,12,Songhai,Germany,Sincerely
171,12,Songhai,Germany,Chief of the Foreign Service
172,12,Morocco,The Iroquois,Dear Your Excellency the Ambassador
173,12,Morocco,The Iroquois,Not a day goes by where we do not think highly of your zeal for your work
174,12,Morocco,The Iroquois,We are displaying a friendly position toward the Iroquois
175,12,Morocco,The Iroquois,The Iroquois military strength has come to an average level according to the Songhais diplomatic cables
176,12,Morocco,The Iroquois,We consider the Iroquois to be a neutral party
177,12,Morocco,The Iroquois,All the best
178,12,Morocco,The Iroquois,The Foreign Office
179,14,Songhai,The Iroquois,Faithful foreign correspondent
180,14,Songhai,The Iroquois,All of us send our best wishes to those abroad in our service
181,14,Songhai,The Iroquois,The Moroccans sources indicate that the Iroquois military activities are strong
182,14,Songhai,The Iroquois,We acknowledge the possibility of taking over the Iroquois to be average
183,14,Songhai,The Iroquois,The hazard that the Iroquois present is labeled as major by our sources
184,14,Songhai,The Iroquois,We are often reminded by the Iroquois behavior why we call the Iroquois a neutral party
185,14,Songhai,The Iroquois,All the best
186,14,Songhai,The Iroquois,Your trusted friend
187,14,The Iroquois,Bogota,Dearest faithful foreign correspondent
188,14,The Iroquois,Bogota,The Foreign Secretary sends his regards and hopes the following proves useful
189,14,The Iroquois,Bogota,We professed that proceedings between us and Bogota are of late neutral
190,14,The Iroquois,Bogota,We consider Bogotas economy to be average
191,14,The Iroquois,Bogota,All the best
192,14,The Iroquois,Bogota,Bogota desk
193,15,The Iroquois,Germany,Dearest Iroquois embassy in Germany
194,15,The Iroquois,Germany,All of us send our best wishes to those abroad in our service
195,15,The Iroquois,Germany,We regard the feasibility of taking over the Germans to be average
196,15,The Iroquois,Germany,Please expand on the Germans economic interests as the foreign office is thoroughly concerned about the Germans conduct
197,15,The Iroquois,Germany,A neutral civilization is how our diplomatic cables defined their association with the Germans
198,15,The Iroquois,Germany,We estimate that the Germans represent a moderate hazard to our ambitions
199,15,The Iroquois,Germany,The Songhai imagine that the Moroccans have become a moderate threat to the Songhais plans
200,15,The Iroquois,Germany,We proclaimed that matters between us and the Germans are these days friendly
201,15,The Iroquois,Germany,Respectfully
202,15,The Iroquois,Germany,Germany desk
203,15,Morocco,Kathmandu,To Ambassador
204,15,Morocco,Kathmandu,All of us send our best wishes to those abroad in our service
205,15,Morocco,Kathmandu,Our public posture with respect to Kathmandu looks friendly
206,15,Morocco,Kathmandu,Kathmandus military potency has attained an average standing according to our sources
207,15,Morocco,Kathmandu,We perceive Kathmandu to be an average target for attack
208,15,Morocco,Kathmandu,Best regards
209,15,Morocco,Kathmandu,The Foreign Secretary
210,16,Morocco,The Incas,Dear Your Excellency the Ambassador
211,16,Morocco,The Incas,Best wishes from His Honor the Foreign Secretary
212,16,Morocco,The Incas,We suspect that the Incas present a severe obstacle to our plans
213,16,Morocco,The Incas,A neutral party is how our spies represented their relations with the Incas
214,16,Morocco,The Incas,We are displaying a friendly manner toward the Incas
215,16,Morocco,The Incas,The foreign office would like any knowledge possible concerning the Incas economic power
216,16,Morocco,The Incas,Best regards
217,16,Morocco,The Incas,Your trusted friend
218,16,Germany,Morocco,Greetings Your Honor the Foreign Secretary
219,16,Germany,Morocco,I hope all is going well at home
220,16,Germany,Morocco,Whatever the Moroccans open disposition may be we perceive the Moroccans as a neutral nation
221,16,Germany,Morocco,A friendly stance with the Moroccans is what we affirm
222,16,Germany,Morocco,The hazard that the Moroccans present is labeled as moderate by our intelligence officers
223,16,Germany,Morocco,The Iroquois announced that matters between the Iroquois and the Songhai are currently friendly
224,16,Germany,Morocco,Recent incidents have led us to look at the Moroccans as a poor military actor
225,16,Germany,Morocco,Respectfully
226,16,Germany,Morocco,Foreign correspondent in Morocco
227,16,Germany,The Iroquois,Dearest German embassy in the Iroquois nation
228,16,Germany,The Iroquois,It is a great honor to work with loyal public servants such as you and yours
229,16,Germany,The Iroquois,Please write more on the Iroquois economic activities as the foreign office is most worried about the Iroquois doings
230,16,Germany,The Iroquois,Our relations with the Iroquois at present are friendly
231,16,Germany,The Iroquois,According to the Moroccans agents the Songhai are largely about unknown preeminence
232,16,Germany,The Iroquois,This estimate comes from a not at all confident source
233,16,Germany,The Iroquois,The hazard that the Iroquois constitute is defined as moderate by our spies
234,16,Germany,The Iroquois,Our diplomats at present imagine the Iroquois as a neutral country
235,16,Germany,The Iroquois,Regards
236,16,Germany,The Iroquois,Chief of the Foreign Service
237,17,The Incas,Morocco,Dearest Foreign Office
238,17,The Incas,Morocco,Hopefully this finds all in order at the home office
239,17,The Incas,Morocco,The obstacle that the Moroccans constitute is defined as minor by our diplomatic cables
240,17,The Incas,Morocco,We are taking a friendly posture toward the Moroccans
241,17,The Incas,Morocco,We report the Moroccans economy to be average
242,17,The Incas,Morocco,We regard the Moroccans to be an average target for attack
243,17,The Incas,Morocco,Faithfully yours
244,17,The Incas,Morocco,Ambassador to Morocco
245,17,Morocco,Germany,To loyal agents abroad
246,17,Morocco,Germany,We are always happy to hear from you and write with what we hope is helpful news
247,17,Morocco,Germany,Our agents at present regard the Germans as a neutral country
248,17,Morocco,Germany,The Iroquois consider the Germans to be a neutral nation
249,17,Morocco,Germany,We consider the Germans to be an average target for attack
250,17,Morocco,Germany,We consider the Germans to be pursuing unknown dominance presently
251,17,Morocco,Germany,Our intelligence officers are not at all certain in this assessment
252,17,Morocco,Germany,The Germans economic potential has attained an average status according to our diplomatic cables
253,17,Morocco,Germany,Our public stance toward the Germans appears friendly
254,17,Morocco,Germany,Respectfully
255,17,Morocco,Germany,Your trusted friend
256,17,The Iroquois,Songhai,To Your Honor
257,17,The Iroquois,Songhai,I hope this letter finds you well
258,17,The Iroquois,Songhai,Recent episodes have led the Germans to perceive the Moroccans as a strong military power
259,17,The Iroquois,Songhai,Our foreign officers now regard the Songhai as a neutral country
260,17,The Iroquois,Songhai,We regard the Songhai to be an average target for attack
261,17,The Iroquois,Songhai,Our relations with the Songhai now are friendly
262,17,The Iroquois,Songhai,Our agents intimate that the Songhais military plans are average
263,17,The Iroquois,Songhai,Very truly yours
264,17,The Iroquois,Songhai,Ambassador to Songhai
265,17,Songhai,Ife,Greetings correspondent
266,17,Songhai,Ife,I hope all is going well
267,17,Songhai,Ife,Ifes economic might has come to an average level according to our sources
268,17,Songhai,Ife,Respectfully
269,17,Songhai,Ife,The Foreign Secretarys Office
270,17,Germany,Kathmandu,To Chief of Mission
271,17,Germany,Kathmandu,Our government owes you a great debt for your sacrifice and service
272,17,Germany,Kathmandu,Our professed feeling toward Kathmandu looks neutral
273,17,Germany,Kathmandu,Kind regards
274,17,Germany,Kathmandu,Kathmandu desk
275,18,Germany,Songhai,Dearest Diplomatic Corps
276,18,Germany,Songhai,I hope all is going well
277,18,Germany,Songhai,We imagine the possibility of forcefully dominating the Songhai to be average
278,18,Germany,Songhai,The threat that the Songhai show is represented as major by our intelligence officers
279,18,Germany,Songhai,The Moroccans are exhibiting a friendly stance toward the Songhai
280,18,Germany,Songhai,We perceive the Songhai to be a neutral country
281,18,Germany,Songhai,Please send word on the Songhais military interests as the foreign office is very concerned about the Songhais doings
282,18,Germany,Songhai,All the best
283,18,Germany,Songhai,The Foreign Service Office
284,18,Korea,Germany,Greetings Foreign Secretary
285,18,Korea,Germany,I am pleased to offer you the following updates from station
286,18,Korea,Germany,Our relations with the Germans at present are friendly
287,18,Korea,Germany,Our spies state that the Germans military ambitions are poor
288,18,Korea,Germany,We believe the Germans to be pursuing technological dominance currently
289,18,Korea,Germany,Our intelligence officers are quite sure in this hypothesis
290,18,Korea,Germany,We infer that the Germans present a minor hazard to our plans
291,18,Korea,Germany,Insofar as we can guess the Germans feels we are a neutral country
292,18,Korea,Germany,We regard the Germans to be an average target for attack
293,18,Korea,Germany,At your service
294,18,Korea,Germany,Ambassador to Germany
295,18,The Iroquois,Morocco,Greetings Diplomatic Corps
296,18,The Iroquois,Morocco,Our government owes you a great debt for your sacrifice and service
297,18,The Iroquois,Morocco,We consider the Moroccans to be a neutral country
298,18,The Iroquois,Morocco,A neutral civilization is how the Songhais sources described their rapport with the Moroccans
299,18,The Iroquois,Morocco,We consider the Moroccans military to be poor
300,18,The Iroquois,Morocco,Our outward stance concerning the Moroccans seems friendly
301,18,The Iroquois,Morocco,Very respectfully yours
302,18,The Iroquois,Morocco,The Honorable Foreign Secretary
303,18,The Iroquois,Korea,Foreign Secretarys Office
304,18,The Iroquois,Korea,Hopefully this finds all in order at the home office
305,18,The Iroquois,Korea,Our relations with the Koreans these days are friendly
306,18,The Iroquois,Korea,According to our spies the Koreans are centered around technological preeminence
307,18,The Iroquois,Korea,This estimate comes from a thoroughly certain source
308,18,The Iroquois,Korea,Whatever the Koreans advertised position may be we perceive the Koreans as a neutral country
309,18,The Iroquois,Korea,The threat that the Koreans present is labeled as major by our diplomatic cables
310,18,The Iroquois,Korea,We report the Koreans to be an average target for attack
311,18,The Iroquois,Korea,The Germans published that proceedings between the Germans and the Koreans are of late friendly
312,18,The Iroquois,Korea,Very truly yours
313,18,The Iroquois,Korea,Foreign correspondent in Korea
314,18,Germany,Mombasa,To charge daffaires in Mombasa
315,18,Germany,Mombasa,The Foreign Secretarys Office appreciates your service
316,18,Germany,Mombasa,We estimate Mombasas economy to be poor
317,18,Germany,Mombasa,Our professed diplomacy as regards Mombasa appears neutral
318,18,Germany,Mombasa,We consider the hope of taking over Mombasa to be favorable
319,18,Germany,Mombasa,Warm regards
320,18,Germany,Mombasa,The Foreign Office
321,19,Songhai,Morocco,Dearest Your Honor the Foreign Secretary
322,19,Songhai,Morocco,I hope all is going well
323,19,Songhai,Morocco,Insofar as we can discern the Moroccans believes we are a neutral civilization
324,19,Songhai,Morocco,A friendly position with the Koreans is what the Iroquois declare
325,19,Songhai,Morocco,Trusted forecasting of ours esteems the Moroccans military power as poor
326,19,Songhai,Morocco,We proclaimed that proceedings between us and the Moroccans are at present friendly
327,19,Songhai,Morocco,We suspect that the Moroccans represent a minor problem to our ambitions
328,19,Songhai,Morocco,Sincerely yours
329,19,Songhai,Morocco,The Ambassador
330,19,Songhai,Korea,Your Honor the Foreign Secretary
331,19,Songhai,Korea,I hope all is going well
332,19,Songhai,Korea,The danger that the Koreans embody is portrayed as minor by our spies
333,19,Songhai,Korea,We consider the Koreans to be an average target for attack
334,19,Songhai,Korea,The Germans are regularly reminded by the Iroquois behavior why the Germans call the Iroquois a neutral nation
335,19,Songhai,Korea,The Koreans economic force has reached an average threshold according to our diplomatic cables
336,19,Songhai,Korea,We are displaying a friendly stance toward the Koreans
337,19,Songhai,Korea,Very truly yours
338,19,Songhai,Korea,The Foreign Correspondents Office
339,19,The Incas,Germany,Dear Foreign Office
340,19,The Incas,Germany,I am pleased to offer you the following updates from station
341,19,The Incas,Germany,We consider the Germans to be pursuing technological dominance at present
342,19,The Incas,Germany,Our agents are very convinced in this report
343,19,The Incas,Germany,We regard the Germans to be a neutral party
344,19,The Incas,Germany,Inasmuch as the Moroccans can discern the Germans imagines the Moroccans are a neutral civilization
345,19,The Incas,Germany,All the best
346,19,The Incas,Germany,The Ambassador
347,19,Morocco,Songhai,Greetings colleague
348,19,Morocco,Songhai,Greetings from back home
349,19,Morocco,Songhai,The foreign office must have any news available regarding the Songhais military potency
350,19,Morocco,Songhai,Our foreign officers at present consider the Songhai as a neutral civilization
351,19,Morocco,Songhai,We believe the Songhai to be pursuing unknown dominance presently
352,19,Morocco,Songhai,Our agents are not at all convinced in this hypothesis
353,19,Morocco,Songhai,A neutral party is how the Iroquois spies defined their association with the Germans
354,19,Morocco,Songhai,Best wishes
355,19,Morocco,Songhai,The Foreign Secretary
356,19,Germany,The Incas,To correspondent
357,19,Germany,The Incas,Those of us at home send kind regards to you and yours
358,19,Germany,The Incas,Our open stance on the subject of the Incas looks friendly
359,19,Germany,The Incas,Trusted forecasting from the Moroccans esteems the Iroquois military force as strong
360,19,Germany,The Incas,We imagine that the Incas present a minor problem to our interests
361,19,Germany,The Incas,Trustworthy forecasting of ours classifies the Incas military force as average
362,19,Germany,The Incas,Respectfully
363,19,Germany,The Incas,The Foreign Secretary
364,19,Korea,Songhai,Your Honor the Foreign Secretary
365,19,Korea,Songhai,We have been diligent in your service and have the following to report
366,19,Korea,Songhai,We believe the Songhai to be pursuing unknown dominance of late
367,19,Korea,Songhai,Our agents are not at all certain in this hypothesis
368,19,Korea,Songhai,We see the probability of forcefully dominating the Songhai to be average
369,19,Korea,Songhai,We figure the Songhais military to be average
370,19,Korea,Songhai,The Songhais military force has come to a strong degree according to the Germans diplomatic cables
371,19,Korea,Songhai,Very truly yours
372,19,Korea,Songhai,The Foreign Service
373,19,Korea,The Iroquois,Dear Diplomatic Corps
374,19,Korea,The Iroquois,We are always happy to hear from you and write with what we hope is helpful news
375,19,Korea,The Iroquois,Please inform on the Iroquois military strategies as the foreign office is most alarmed about the Iroquois actions
376,19,Korea,The Iroquois,Recent events have led us to imagine the Iroquois as a poor military force
377,19,Korea,The Iroquois,Insofar as we can tell the Iroquois feels we are a neutral country
378,19,Korea,The Iroquois,We perceive the Iroquois to be an average target for attack
379,19,Korea,The Iroquois,The Songhais military strength has hit a strong status according to the Germans agents
380,19,Korea,The Iroquois,Our announced posture toward the Iroquois is likely friendly
381,19,Korea,The Iroquois,Yours
382,19,Korea,The Iroquois,Chief of the Foreign Service
383,19,Germany,The Incas,To Foreign Office
384,19,Germany,The Incas,We trust that things are going well at home
385,19,Germany,The Incas,We desired a deal to authorize a foreign service post in The Incass top city and thus suggested an accord to authorize an embassy in Germanys seat of government in exchange
386,19,Germany,The Incas,A satisfactory pact with those terms was made today
387,19,Germany,The Incas,All the best
388,19,Germany,The Incas,Correspondent in The Incan Nation
389,19,Morocco,Ife,Charge daffaires in Ife
390,19,Morocco,Ife,All of us send our best wishes to those abroad in our service
391,19,Morocco,Ife,We see the prospect of taking over Ife to be average
392,19,Morocco,Ife,Our relations with Ife these days are neutral
393,19,Morocco,Ife,We consider Ifes economy to be poor
394,19,Morocco,Ife,Best wishes
395,19,Morocco,Ife,The Office of the Foreign Secretary
396,19,The Iroquois,Ife,Dear loyal agents abroad
397,19,The Iroquois,Ife,We are always happy to hear from you and write with what we hope is helpful news
398,19,The Iroquois,Ife,Our open posture in regard to Ife feels friendly
399,19,The Iroquois,Ife,We perceive Ifes military to be average
400,19,The Iroquois,Ife,Very respectfully yours
401,19,The Iroquois,Ife,Ife desk
402,20,Morocco,The Iroquois,Dear Your Excellency the Ambassador
403,20,Morocco,The Iroquois,We hope this finds you enjoying your posting
404,20,Morocco,The Iroquois,We perceive the chance of conquering the Iroquois to be average
405,20,Morocco,The Iroquois,A friendly manner with the Songhai is what the Germans maintain
406,20,Morocco,The Iroquois,Regards
407,20,Morocco,The Iroquois,The Foreign Service Office
408,21,Songhai,Germany,Dearest Foreign Secretarys Office
409,21,Songhai,Germany,I hope this letter finds you well
410,21,Songhai,Germany,We imagine the probability of forcefully dominating the Germans to be average
411,21,Songhai,Germany,Our open stance concerning the Germans looks friendly
412,21,Songhai,Germany,The Iroquois are regularly reminded by the Moroccans behavior why the Iroquois call the Moroccans a neutral country
413,21,Songhai,Germany,Sincerely
414,21,Songhai,Germany,Charge daffaires in Germany
415,21,Songhai,The Iroquois,To Ambassador
416,21,Songhai,The Iroquois,Best wishes from His Honor the Foreign Secretary
417,21,Songhai,The Iroquois,We are periodically reminded by the Iroquois behavior why we call the Iroquois a neutral nation
418,21,Songhai,The Iroquois,We esteem the likelihood of taking over the Iroquois to be average
419,21,Songhai,The Iroquois,The obstacle that the Iroquois present is portrayed as minor by our sources
420,21,Songhai,The Iroquois,We report the Iroquois military to be poor
421,21,Songhai,The Iroquois,We are showing a friendly stance toward the Iroquois
422,21,Songhai,The Iroquois,The hazard that the Germans present is represented as moderate by the Moroccans intelligence officers
423,21,Songhai,The Iroquois,With gratitude
424,21,Songhai,The Iroquois,Your trusted friend
425,21,Germany,Korea,Ambassador to Korea
426,21,Germany,Korea,I hope this letter finds you well
427,21,Germany,Korea,We professed that proceedings between us and the Koreans are of late friendly
428,21,Germany,Korea,We regard the hope of forcefully dominating the Koreans to be average
429,21,Germany,Korea,The Iroquois imagine that the Songhai constitute a major risk to the Iroquois interests
430,21,Germany,Korea,We acknowledge the Koreans to be a neutral nation
431,21,Germany,Korea,Respectfully
432,21,Germany,Korea,The Foreign Secretary
433,22,Korea,Morocco,To Morocco Desk
434,22,Korea,Morocco,I hope all is going well at home
435,22,Korea,Morocco,The hazard that the Moroccans present is labeled as minor by our spies
436,22,Korea,Morocco,The Germans economic strength has approached a strong threshold according to the Songhais diplomatic cables
437,22,Korea,Morocco,We professed that proceedings between us and the Moroccans are these days friendly
438,22,Korea,Morocco,We believe the Moroccans to be an average target for attack
439,22,Korea,Morocco,Sincerely yours
440,22,Korea,Morocco,Korean embassy in Morocco
441,22,The Incas,Kathmandu,Dearest charge daffaires in Kathmandu
442,22,The Incas,Kathmandu,Our government owes you a great debt for your sacrifice and service
443,22,The Incas,Kathmandu,A neutral position with Kathmandu is what we avow
444,22,The Incas,Kathmandu,We believe Kathmandus economy to be average
445,22,The Incas,Kathmandu,Yours truly
446,22,The Incas,Kathmandu,Your trusted friend
447,22,Korea,Mombasa,To Your Honor
448,22,Korea,Mombasa,I hope all is going well
449,22,Korea,Mombasa,We esteem the chance of conquering Mombasa to be favorable
450,22,Korea,Mombasa,A friendly position with Mombasa is what we claim
451,22,Korea,Mombasa,Very respectfully yours
452,22,Korea,Mombasa,Chief of Mission
453,23,Morocco,Korea,To ambassador to Korea
